datetime,spot_price,opt_open,opt_high,opt_low,opt_close,volume,iv_pct,delta,gamma,theta,vega
2026-09-03 09:47:00,24019.75,586.7,586.7,586.7,586.7,0,15.0,0.6544,0.000378,-6.62,23.55
2026-09-03 09:48:00,24008.65,586.7,586.7,586.7,586.7,0,15.0,0.6502,0.00038,-6.65,23.64
2026-09-03 09:49:00,24015.8,586.7,586.7,586.7,586.7,0,15.0,0.6529,0.000379,-6.63,23.58
2026-09-03 09:50:00,24013.25,586.7,586.7,586.7,586.7,0,15.0,0.6519,0.00038,-6.64,23.6
2026-09-03 09:51:00,24010.75,586.7,586.7,586.7,586.7,0,15.0,0.651,0.00038,-6.65,23.62
2026-09-03 09:52:00,24011.85,586.7,586.7,586.7,586.7,0,15.0,0.6514,0.00038,-6.64,23.61
2026-09-03 09:53:00,24007.6,586.7,586.7,586.7,586.7,0,15.0,0.6498,0.000381,-6.65,23.65
2026-09-03 09:54:00,24005.5,586.7,586.7,586.7,586.7,0,15.0,0.649,0.000381,-6.66,23.67
2026-09-03 09:55:00,24007.35,586.7,586.7,586.7,586.7,0,15.0,0.6497,0.000381,-6.65,23.65
2026-09-03 09:56:00,24000.1,586.7,586.7,586.7,586.7,0,15.0,0.6469,0.000382,-6.67,23.71
2026-09-03 09:57:00,24005.8,586.7,586.7,586.7,586.7,0,15.0,0.6491,0.000381,-6.66,23.67
2026-09-03 09:58:00,24007.15,586.7,586.7,586.7,586.7,0,15.0,0.6496,0.000381,-6.66,23.65
2026-09-03 09:59:00,24007.6,586.7,586.7,586.7,586.7,0,15.0,0.6498,0.000381,-6.65,23.65
2026-09-03 10:00:00,23999.85,586.7,586.7,586.7,586.7,0,15.0,0.6468,0.000382,-6.67,23.71
2026-09-03 10:01:00,24000.1,586.7,586.7,586.7,586.7,0,15.0,0.6469,0.000382,-6.67,23.71
2026-09-03 10:02:00,24003.3,586.7,586.7,586.7,586.7,0,15.0,0.6482,0.000381,-6.67,23.68
2026-09-03 10:03:00,24003.15,586.7,586.7,586.7,586.7,0,15.0,0.6481,0.000381,-6.67,23.69
2026-09-03 10:04:00,24005.05,586.7,586.7,586.7,586.7,0,15.0,0.6488,0.000381,-6.66,23.67
2026-09-03 10:05:00,24005.5,586.7,586.7,586.7,586.7,0,15.0,0.649,0.000381,-6.66,23.66
2026-09-03 10:06:00,23998.5,586.7,586.7,586.7,586.7,0,15.0,0.6463,0.000382,-6.68,23.72
2026-09-03 10:07:00,23996.55,586.7,586.7,586.7,586.7,0,15.0,0.6456,0.000383,-6.68,23.74
2026-09-03 10:08:00,24003.85,586.7,586.7,586.7,586.7,0,15.0,0.6484,0.000381,-6.66,23.68
2026-09-03 10:09:00,24002.45,586.7,586.7,586.7,586.7,0,15.0,0.6479,0.000382,-6.67,23.69
2026-09-03 10:10:00,24002.85,586.7,586.7,586.7,586.7,0,15.0,0.648,0.000382,-6.67,23.69
2026-09-03 10:11:00,24001.75,586.7,586.7,586.7,586.7,0,15.0,0.6476,0.000382,-6.67,23.69
2026-09-03 10:12:00,24001.4,586.7,586.7,586.7,586.7,0,15.0,0.6475,0.000382,-6.67,23.7
2026-09-03 10:13:00,23996.15,586.7,586.7,586.7,586.7,0,15.0,0.6455,0.000383,-6.68,23.74
2026-09-03 10:14:00,23991.15,586.7,586.7,586.7,586.7,0,15.0,0.6435,0.000383,-6.7,23.78
2026-09-03 10:15:00,23990.25,586.7,586.7,586.7,586.7,0,15.0,0.6432,0.000384,-6.7,23.79
2026-09-03 10:16:00,23991.15,586.7,586.7,586.7,586.7,0,15.0,0.6435,0.000383,-6.7,23.78
2026-09-03 10:17:00,23991.6,586.7,586.7,586.7,586.7,0,15.0,0.6437,0.000383,-6.7,23.78
2026-09-03 10:18:00,23992.0,586.7,586.7,586.7,586.7,0,15.0,0.6439,0.000383,-6.7,23.77
