datetime,sensex_spot,rolled_atm_strike,atm_ce_close,atm_ce_iv,atm_ce_delta,atm_ce_volume,atm_pe_close,atm_pe_iv,atm_pe_delta,atm_pe_volume,atm_straddle_cost,atm_straddle_iv,net_delta_imbalance,signed_flow_proxy
2026-08-25 13:35:00,77186.47,77200.0,1211.0,13.85,0.5034,0,621.85,7.0,-0.4967,0,1832.85,10.42,0.0067,0.0
2026-08-25 13:40:00,77193.71,77200.0,1211.0,13.81,0.5043,0,621.85,7.04,-0.4948,0,1832.85,10.42,0.0095,0.0
2026-08-25 13:45:00,77178.05,77200.0,1211.0,13.9,0.5023,0,621.85,6.95,-0.4989,20,1832.85,10.42,0.0034,0.0
2026-08-25 13:55:00,77248.17,77200.0,1211.0,13.5,0.5113,0,621.85,7.34,-0.4813,0,1832.85,10.42,0.03,0.0
2026-08-25 14:00:00,77245.77,77200.0,1211.0,13.51,0.511,0,621.85,7.33,-0.4819,0,1832.85,10.42,0.0291,0.0
2026-08-25 14:05:00,77241.48,77200.0,1211.0,13.54,0.5104,0,621.85,7.31,-0.4829,0,1832.85,10.42,0.0275,0.0
2026-08-25 14:10:00,77248.23,77200.0,1211.0,13.5,0.5113,0,621.85,7.34,-0.4813,0,1832.85,10.42,0.03,0.0
2026-08-27 13:50:00,77211.61,77200.0,1240.0,14.53,0.5069,20,696.95,8.27,-0.4903,40,1936.95,11.4,0.0166,60.0
2026-08-27 13:55:00,77185.93,77200.0,1225.0,14.5,0.5036,140,696.95,8.12,-0.4962,0,1921.95,11.31,0.0074,-140.0
2026-08-27 14:00:00,77169.44,77200.0,1225.0,14.6,0.5016,0,696.95,8.03,-0.5001,0,1921.95,11.32,0.0015,0.0
2026-08-27 14:05:00,77150.84,77200.0,1211.85,14.56,0.4992,40,696.95,7.92,-0.5046,0,1908.8,11.24,-0.0054,-40.0
2026-08-27 14:10:00,77179.93,77200.0,1211.85,14.39,0.5027,0,696.95,8.09,-0.4976,0,1908.8,11.24,0.0051,0.0
2026-08-27 14:15:00,77216.47,77200.0,1269.25,14.85,0.5076,40,696.95,8.3,-0.4892,0,1966.2,11.58,0.0184,40.0
2026-08-27 14:20:00,77241.44,77200.0,1262.0,14.61,0.5107,80,696.95,8.44,-0.4837,0,1958.95,11.52,0.027,-13.0
2026-08-27 14:40:00,77200.25,77200.0,1233.25,14.52,0.5054,0,696.95,8.21,-0.4928,0,1930.2,11.36,0.0126,0.0
2026-08-27 14:45:00,77235.67,77200.0,1233.25,14.31,0.5099,0,696.95,8.41,-0.4849,0,1930.2,11.36,0.025,0.0
2026-08-27 14:50:00,77197.96,77200.0,1245.0,14.68,0.5052,140,696.95,8.2,-0.4934,0,1941.95,11.44,0.0118,140.0
2026-08-27 14:55:00,77245.54,77200.0,1245.0,14.39,0.5112,0,696.95,8.47,-0.4828,0,1941.95,11.43,0.0284,0.0
2026-08-27 15:00:00,77213.18,77200.0,1245.0,14.59,0.5071,0,548.05,6.53,-0.4901,20,1793.05,10.56,0.017,20.0
2026-08-27 15:05:00,77208.08,77200.0,1245.0,14.62,0.5065,0,548.05,6.5,-0.4915,20,1793.05,10.56,0.015,0.0
2026-08-27 15:10:00,77181.61,77200.0,1245.0,14.78,0.5032,0,548.05,6.35,-0.4993,0,1793.05,10.56,0.0039,0.0
2026-08-27 15:15:00,77182.91,77200.0,1245.0,14.77,0.5034,0,548.05,6.36,-0.4989,20,1793.05,10.56,0.0045,0.0
2026-08-27 15:20:00,77182.91,77200.0,1212.0,14.38,0.5031,60,548.05,6.36,-0.4989,20,1760.05,10.37,0.0042,-44.0
2026-08-28 09:20:00,77162.74,77200.0,1167.1,14.16,0.5002,40,560.45,6.47,-0.5048,1500,1727.55,10.32,-0.0046,1495.0
2026-08-28 09:25:00,77232.15,77200.0,1240.7,14.62,0.5096,60,529.1,6.51,-0.4847,720,1769.8,10.56,0.0249,551.0
2026-08-28 09:30:00,77227.55,77200.0,1250.0,14.76,0.509,40,532.3,6.52,-0.486,40,1782.3,10.64,0.023,21.0
2026-08-28 09:35:00,77211.13,77200.0,1250.0,14.86,0.507,0,524.0,6.32,-0.4907,20,1774.0,10.59,0.0163,20.0
2026-08-28 09:45:00,77215.73,77200.0,1250.0,14.84,0.5075,0,524.0,6.35,-0.4894,0,1774.0,10.6,0.0181,0.0
2026-08-28 09:50:00,77242.93,77200.0,1250.0,14.67,0.5109,80,533.1,6.62,-0.4817,40,1783.1,10.64,0.0292,-40.0
2026-08-28 10:00:00,77228.34,77200.0,1250.0,14.76,0.5091,0,517.65,6.35,-0.4856,60,1767.65,10.56,0.0235,60.0
2026-08-28 10:50:00,77249.03,77200.0,1299.9,15.24,0.5118,0,491.15,6.16,-0.4792,0,1791.05,10.7,0.0326,0.0
2026-08-28 11:05:00,77201.85,77200.0,1294.35,15.47,0.5061,20,491.15,5.88,-0.4937,0,1785.5,10.68,0.0124,-20.0
2026-08-28 11:15:00,77222.89,77200.0,1220.0,14.45,0.5083,120,491.15,6.01,-0.4871,0,1711.15,10.23,0.0212,-112.0
2026-08-28 11:20:00,77189.46,77200.0,1194.2,14.35,0.5039,520,527.7,6.25,-0.4973,100,1721.9,10.3,0.0066,-603.0
2026-08-28 14:50:00,77181.42,77200.0,1170.0,14.14,0.5027,20,540.1,6.37,-0.4996,160,1710.1,10.26,0.0031,160.0
2026-08-28 14:55:00,77157.71,77200.0,1188.0,14.5,0.4998,20,545.55,6.29,-0.5068,120,1733.55,10.4,-0.007,-78.0
2026-08-28 15:10:00,77194.59,77200.0,1182.05,14.21,0.5045,80,534.15,6.38,-0.4957,40,1716.2,10.3,0.0088,80.0
2026-08-28 15:15:00,77194.59,77200.0,1187.5,14.28,0.5045,40,534.15,6.38,-0.4957,0,1721.65,10.33,0.0088,40.0
2026-08-28 15:20:00,77194.59,77200.0,1187.5,14.28,0.5045,0,500.0,5.97,-0.496,40,1687.5,10.12,0.0085,40.0
2026-09-01 11:15:00,77166.65,77200.0,1018.3,13.39,0.4995,20,556.35,6.98,-0.5041,140,1574.65,10.18,-0.0046,160.0
2026-09-01 11:20:00,77179.23,77200.0,1046.45,13.68,0.5016,200,569.95,7.24,-0.5001,240,1616.4,10.46,0.0015,-40.0
2026-09-01 11:25:00,77198.66,77200.0,1007.85,13.05,0.5042,220,550.0,7.11,-0.4947,240,1557.85,10.08,0.0095,8.0
2026-09-01 11:30:00,77190.28,77200.0,1062.9,13.82,0.5033,40,551.05,7.07,-0.4971,20,1613.95,10.44,0.0062,20.0
2026-09-01 11:35:00,77156.25,77200.0,1011.75,13.38,0.4979,80,551.05,6.85,-0.5075,0,1562.8,10.12,-0.0096,-80.0
2026-09-01 11:40:00,77169.23,77200.0,1011.75,13.3,0.4998,0,557.8,7.02,-0.5033,40,1569.55,10.16,-0.0035,-13.0
2026-09-01 11:50:00,77172.29,77200.0,1011.75,13.28,0.5002,20,573.05,7.24,-0.5021,0,1584.8,10.26,-0.0019,0.0
2026-09-01 11:55:00,77175.01,77200.0,1047.3,13.72,0.501,40,564.8,7.15,-0.5014,800,1612.1,10.44,-0.0004,157.0
2026-09-01 12:00:00,77201.14,77200.0,1026.95,13.29,0.5047,20,557.05,7.22,-0.4939,1720,1584.0,10.26,0.0108,-317.0
2026-09-01 12:05:00,77221.94,77200.0,1026.95,13.16,0.5079,0,553.15,7.3,-0.4881,1220,1580.1,10.23,0.0198,-6.0
2026-09-01 12:10:00,77192.67,77200.0,1026.95,13.35,0.5034,0,563.65,7.25,-0.4963,220,1590.6,10.3,0.0071,-120.0
2026-09-01 12:15:00,77173.47,77200.0,1026.95,13.47,0.5006,0,564.5,7.14,-0.5019,560,1591.45,10.3,-0.0013,-17.0
2026-09-01 12:25:00,77170.38,77200.0,967.9,12.73,0.4995,160,570.15,7.19,-0.5027,40,1538.05,9.96,-0.0032,-197.0
2026-09-01 12:30:00,77158.51,77200.0,967.9,12.81,0.4976,0,566.6,7.07,-0.5063,20,1534.5,9.94,-0.0087,20.0
2026-09-01 12:35:00,77156.93,77200.0,967.9,12.82,0.4974,0,566.6,7.06,-0.5068,0,1534.5,9.94,-0.0094,0.0
2026-09-01 12:40:00,77175.78,77200.0,1019.9,13.37,0.5008,20,566.6,7.19,-0.5012,0,1586.5,10.28,-0.0004,20.0
2026-09-01 12:45:00,77158.4,77200.0,1019.9,13.49,0.4983,0,554.9,6.92,-0.5067,340,1574.8,10.2,-0.0084,151.0
2026-08-25 11:55:00,77337.57,77300.0,1258.5,14.06,0.51,20,674.65,7.86,-0.4842,0,1933.15,10.96,0.0258,0.0
2026-08-25 12:00:00,77343.34,77300.0,1258.5,14.03,0.5107,0,674.65,7.89,-0.4829,0,1933.15,10.96,0.0278,0.0
2026-08-25 12:05:00,77309.1,77300.0,1258.5,14.23,0.5065,0,674.65,7.71,-0.4907,0,1933.15,10.97,0.0158,0.0
2026-08-25 12:10:00,77317.05,77300.0,1258.5,14.18,0.5075,0,674.65,7.75,-0.4889,0,1933.15,10.96,0.0186,0.0
2026-08-25 12:15:00,77332.75,77300.0,1258.5,14.09,0.5094,0,674.65,7.84,-0.4853,0,1933.15,10.96,0.0241,0.0
2026-08-25 12:20:00,77304.62,77300.0,1258.5,14.26,0.5059,0,674.65,7.68,-0.4918,0,1933.15,10.97,0.0141,0.0
2026-08-25 12:25:00,77308.84,77300.0,1258.5,14.23,0.5064,0,674.65,7.71,-0.4908,0,1933.15,10.97,0.0156,0.0
2026-08-25 12:30:00,77307.69,77300.0,1258.5,14.24,0.5063,0,674.65,7.7,-0.4911,0,1933.15,10.97,0.0152,0.0
2026-08-25 12:35:00,77278.15,77300.0,1258.5,14.41,0.5027,0,619.4,6.91,-0.4989,60,1877.9,10.66,0.0038,60.0
2026-08-25 12:40:00,77267.45,77300.0,1258.5,14.47,0.5015,0,619.4,6.85,-0.5018,0,1877.9,10.66,-0.0003,0.0
2026-08-25 12:45:00,77267.21,77300.0,1258.5,14.48,0.5014,0,619.4,6.85,-0.5019,0,1877.9,10.66,-0.0005,0.0
