datetime,underlying,symbol,strike,type,spot_price,opt_open,opt_high,opt_low,opt_close,volume,iv_pct,delta,gamma,theta,vega
2026-08-20 12:55:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77574.36,449.95,449.95,445.0,445.0,60,7.3,-0.3647,0.000213,-9.27,90.01
2026-08-20 13:00:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77550.55,445.0,445.0,445.0,445.0,0,7.2,-0.3682,0.000217,-9.18,90.27
2026-08-20 13:05:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77558.25,445.0,463.1,445.0,463.1,20,7.43,-0.3702,0.00021,-9.49,90.43
2026-08-20 13:10:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77576.12,463.1,463.1,463.1,463.1,0,7.51,-0.3676,0.000208,-9.56,90.24
2026-08-20 13:15:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77552.5,463.1,463.1,458.5,460.85,40,7.39,-0.3707,0.000212,-9.43,90.45
2026-08-20 13:20:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77593.33,460.85,460.85,460.85,460.85,0,7.55,-0.3647,0.000206,-9.6,90.02
2026-08-20 13:25:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77556.68,460.85,460.85,460.85,460.85,0,7.4,-0.3701,0.000211,-9.45,90.4
2026-08-20 13:30:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77595.68,460.85,460.85,460.85,460.85,0,7.56,-0.3644,0.000206,-9.61,89.99
2026-08-20 13:35:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77556.84,460.85,465.75,460.85,465.75,60,7.46,-0.3709,0.00021,-9.53,90.45
2026-08-20 13:40:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77563.7,465.75,465.75,448.0,448.0,20,7.29,-0.3668,0.000214,-9.28,90.13
2026-08-20 13:45:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77586.84,448.0,455.0,448.0,455.0,40,7.46,-0.3646,0.000208,-9.49,89.98
2026-08-20 13:50:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77564.39,455.0,463.9,445.4,454.3,100,7.36,-0.3678,0.000212,-9.39,90.21
2026-08-20 13:55:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77517.17,454.3,454.3,454.3,454.3,0,7.17,-0.375,0.000219,-9.19,90.7
2026-08-20 14:00:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77536.97,454.3,460.0,454.3,460.0,40,7.32,-0.3729,0.000214,-9.36,90.56
2026-08-20 14:05:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77549.38,460.0,470.0,460.0,470.0,40,7.48,-0.3727,0.00021,-9.57,90.56
2026-08-20 14:10:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77560.83,470.0,470.0,470.0,470.0,0,7.53,-0.371,0.000208,-9.62,90.43
2026-08-20 14:15:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77557.86,470.0,470.0,470.0,470.0,0,7.51,-0.3714,0.000208,-9.61,90.46
2026-08-20 14:20:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77572.05,470.0,470.0,470.0,470.0,0,7.57,-0.3694,0.000206,-9.67,90.31
2026-08-20 14:25:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77583.78,470.0,470.0,454.0,454.0,40,7.44,-0.3649,0.000209,-9.47,89.96
2026-08-20 14:30:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77596.2,454.0,454.0,454.0,454.0,0,7.49,-0.3631,0.000207,-9.52,89.83
2026-08-20 14:35:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77584.28,454.0,454.0,454.0,454.0,0,7.44,-0.3648,0.000209,-9.47,89.95
2026-08-20 14:40:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77566.22,454.0,471.4,448.95,471.4,60,7.56,-0.3704,0.000207,-9.67,90.37
2026-08-20 14:45:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77556.0,471.4,471.4,450.85,462.45,80,7.42,-0.3704,0.000211,-9.49,90.36
2026-08-20 14:50:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77565.92,462.45,462.45,462.45,462.45,0,7.46,-0.369,0.000209,-9.53,90.25
2026-08-20 14:55:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77553.86,462.45,475.0,439.25,439.25,360,7.16,-0.3667,0.000218,-9.12,90.05
2026-08-20 15:00:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77581.0,439.25,467.7,439.25,467.7,240,7.59,-0.3677,0.000206,-9.68,90.15
2026-08-20 15:05:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77476.59,467.7,467.7,460.0,460.0,260,7.07,-0.3823,0.000224,-9.11,91.13
2026-08-20 15:10:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77488.19,460.0,480.0,460.0,480.0,100,7.34,-0.3836,0.000216,-9.47,91.22
2026-08-20 15:15:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77485.29,480.0,483.3,480.0,483.3,20,7.36,-0.3846,0.000215,-9.51,91.28
2026-08-20 15:20:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77485.29,483.3,483.3,460.0,477.25,120,7.29,-0.3836,0.000217,-9.41,91.21
2026-08-20 15:25:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77537.72,477.25,489.95,476.45,477.3,480,7.52,-0.3756,0.000209,-9.65,90.69
2026-08-21 09:15:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77540.53,479.1,490.8,479.1,490.8,120,7.76,-0.3774,0.000205,-10.09,89.86
2026-08-21 09:20:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77481.72,490.8,518.35,490.8,518.35,60,7.81,-0.3901,0.000206,-10.24,90.67
2026-08-21 09:25:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77511.92,518.35,518.35,486.2,494.35,140,7.68,-0.3821,0.000208,-10.01,90.16
2026-08-21 09:30:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77451.78,494.35,506.0,494.35,506.0,60,7.55,-0.3932,0.000214,-9.91,90.82
2026-08-21 09:35:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77490.64,506.0,511.0,502.15,511.0,60,7.77,-0.3878,0.000207,-10.17,90.51
2026-08-21 09:40:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77579.13,511.0,511.0,490.0,490.0,20,7.91,-0.3716,0.0002,-10.24,89.46
2026-08-21 09:45:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77590.65,490.0,490.0,472.3,472.3,80,7.76,-0.3671,0.000203,-10.01,89.12
2026-08-21 09:50:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77621.12,472.3,472.3,472.3,472.3,40,7.89,-0.3629,0.000199,-10.14,88.81
2026-08-21 09:55:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77598.93,472.3,472.3,472.3,472.3,0,7.8,-0.3659,0.000202,-10.05,89.03
2026-08-21 10:00:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77567.69,472.3,481.7,472.3,476.9,140,7.72,-0.3712,0.000205,-9.99,89.39
2026-08-21 10:05:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77533.8,476.9,486.1,476.9,482.0,40,7.64,-0.377,0.000209,-9.93,89.79
2026-08-21 10:10:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77563.47,482.0,482.0,482.0,482.0,0,7.76,-0.3726,0.000204,-10.06,89.49
2026-08-21 10:15:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77546.83,482.0,482.0,482.0,482.0,0,7.69,-0.3751,0.000207,-9.99,89.65
2026-08-21 10:20:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77594.25,482.0,482.0,469.0,469.0,180,7.74,-0.3661,0.000204,-9.98,89.01
2026-08-21 10:25:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77627.16,469.0,469.0,469.0,469.0,20,7.88,-0.3615,0.000199,-10.12,88.67
2026-08-21 10:30:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77615.13,469.0,475.0,469.0,475.0,1040,7.9,-0.3642,0.000199,-10.17,88.87
2026-08-21 10:35:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77617.07,475.0,475.0,469.0,469.0,80,7.84,-0.3629,0.000201,-10.08,88.76
2026-08-21 10:40:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77627.06,469.0,469.0,469.0,469.0,0,7.88,-0.3615,0.000199,-10.12,88.65
2026-08-21 10:45:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77617.47,469.0,469.0,461.0,461.0,60,7.75,-0.3614,0.000203,-9.96,88.63
2026-08-21 10:50:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77661.86,461.0,461.0,460.0,460.0,20,7.92,-0.3552,0.000197,-10.12,88.15
2026-08-21 10:55:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77642.8,460.0,470.3,460.0,470.3,40,7.96,-0.3596,0.000197,-10.21,88.5
2026-08-21 11:00:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77657.44,470.3,470.3,453.65,453.65,20,7.83,-0.3546,0.000199,-10.0,88.09
2026-08-21 11:05:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77643.69,453.65,453.65,453.65,453.65,0,7.77,-0.3565,0.000201,-9.95,88.23
2026-08-21 11:10:00,SENSEX,BSE:SENSEX26SEP77000PE,77000,PE,77654.38,453.65,453.65,453.65,453.65,0,7.82,-0.355,0.0002,-9.99,88.11
