datetime,spot_price,opt_open,opt_high,opt_low,opt_close,volume,iv_pct,delta,gamma,theta,vega
2026-08-28 14:52:00,77171.65,1610.0,1610.0,1610.0,1610.0,0,15.0,0.5898,0.000123,-22.21,81.1
2026-08-28 14:53:00,77178.88,1610.0,1610.0,1610.0,1610.0,0,15.0,0.5907,0.000123,-22.2,81.06
2026-08-28 14:54:00,77181.42,1610.0,1610.0,1610.0,1610.0,0,15.0,0.591,0.000122,-22.19,81.04
2026-08-28 14:55:00,77177.48,1610.0,1610.0,1610.0,1610.0,0,15.0,0.5905,0.000123,-22.2,81.06
2026-08-28 14:56:00,77169.15,1610.0,1610.0,1610.0,1610.0,0,15.0,0.5895,0.000123,-22.21,81.1
2026-08-28 14:57:00,77164.6,1610.0,1610.0,1610.0,1610.0,0,15.0,0.5889,0.000123,-22.22,81.13
2026-08-28 14:58:00,77163.24,1610.0,1610.0,1610.0,1610.0,0,15.0,0.5887,0.000123,-22.22,81.13
2026-08-28 14:59:00,77157.71,1610.0,1610.0,1610.0,1610.0,0,15.0,0.5881,0.000123,-22.23,81.16
2026-08-28 15:00:00,77136.03,1610.0,1610.0,1610.0,1610.0,0,15.0,0.5854,0.000123,-22.26,81.26
2026-08-28 15:01:00,77121.06,1610.0,1610.0,1610.0,1610.0,0,15.0,0.5836,0.000123,-22.28,81.33
2026-08-28 15:02:00,77093.46,1610.0,1610.0,1610.0,1610.0,0,15.0,0.5802,0.000123,-22.32,81.45
2026-08-28 15:03:00,77081.01,1610.0,1610.0,1610.0,1610.0,0,15.0,0.5786,0.000124,-22.34,81.5
2026-08-28 15:04:00,77085.71,1610.0,1610.0,1610.0,1610.0,0,15.0,0.5792,0.000123,-22.33,81.48
2026-08-28 15:05:00,77089.67,1610.0,1610.0,1610.0,1610.0,0,15.0,0.5797,0.000123,-22.33,81.46
2026-08-28 15:06:00,77086.28,1610.0,1610.0,1610.0,1610.0,0,15.0,0.5793,0.000123,-22.33,81.48
2026-08-28 15:07:00,77091.61,1610.0,1610.0,1610.0,1610.0,0,15.0,0.5799,0.000123,-22.32,81.45
2026-08-28 15:08:00,77102.3,1610.0,1661.6,1610.0,1661.6,160,16.17,0.5765,0.000115,-24.11,81.61
2026-08-28 15:09:00,77136.99,1661.6,1661.6,1661.6,1661.6,0,15.0,0.5855,0.000123,-22.26,81.25
2026-08-28 15:10:00,77150.54,1661.6,1679.4,1661.6,1679.4,40,16.04,0.5825,0.000115,-23.86,81.4
2026-08-28 15:11:00,77215.44,1679.4,1679.4,1679.4,1679.4,0,15.0,0.5952,0.000122,-22.15,80.85
2026-08-28 15:12:00,77241.55,1750.4,1750.4,1739.8,1739.8,200,16.13,0.5926,0.000114,-23.86,81.01
2026-08-28 15:13:00,77225.48,1733.3,1733.3,1725.35,1725.35,40,16.07,0.591,0.000114,-23.79,81.07
2026-08-28 15:14:00,77194.59,1719.0,1719.0,1714.05,1716.05,120,16.17,0.587,0.000114,-24.0,81.23
2026-08-28 15:15:00,77194.59,1716.05,1716.05,1706.15,1706.75,60,16.06,0.5875,0.000115,-23.83,81.21
2026-08-28 15:16:00,77194.59,1706.75,1706.75,1706.75,1706.75,0,15.0,0.5926,0.000122,-22.18,80.95
2026-08-28 15:17:00,77194.59,1706.75,1706.75,1706.75,1706.75,0,15.0,0.5926,0.000122,-22.18,80.95
2026-08-28 15:18:00,77194.59,1706.75,1706.75,1706.75,1706.75,0,15.0,0.5926,0.000122,-22.18,80.95
2026-08-28 15:19:00,77194.59,1706.75,1706.75,1706.75,1706.75,0,15.0,0.5926,0.000122,-22.18,80.95
